decision_id,timestamp,mint,trigger_type,side,predicted_fees_usd,predicted_impact_usd,tp_usd,follow_through_score,size_sol,size_usd,confidence,expected_ev_usd,success_probability,rank,wallet,wallet_tier,datetime
1,1761647321,76d872a9f2c95509da5e7b788c43f912e55f422e5ae107a87817fb466eb8178f,copy,0,0.3227,3.3418,1.0000,87,0.0208,4.0236,87,1.3177,0.0000,,93504f060e7ee56aefccfbae8f41cdb2adc7feedf214f13c4e1369427f5a1eb5,0,2025-10-28 10:28:41
1,1761647998,f8dc53fed31e53f00b001957b0afc0b5cf231ed7419dae0bfa445364330a327f,copy,0,0.3250,1.5305,1.0000,88,0.0212,4.1009,88,1.3175,0.0000,,dce3a917eb7d9f38b0570fd77cdf8247257969749e6eaab1f9794fecf922ed02,0,2025-10-28 10:39:58
2,1761648035,f8dc53fed31e53f00b001957b0afc0b5cf231ed7419dae0bfa445364330a327f,copy,0,0.3250,1.2932,1.0000,89,0.0212,4.1009,89,1.2166,0.0000,,93504f060e7ee56aefccfbae8f41cdb2adc7feedf214f13c4e1369427f5a1eb5,0,2025-10-28 10:40:35
1,1761648223,0c84673d3fe2211d52c0db5a6ee0059aaf71c51a24bd31a7f1272c40c25091ff,copy,0,0.2969,2.9275,1.0000,62,0.0158,3.1617,62,1.1851,0.0000,,9b68ffa15a04e13c14788be5f5a4bb208c42a27f8f03e00d254c0d589144a9f0,0,2025-10-28 10:43:43
2,1761648316,abbdf532a200f64f20568b2ea0026458bd090cdfc6a2e41cfacdfc647063e3bf,copy,0,0.2981,2.6950,1.0000,63,0.0160,3.2034,63,0.8945,0.0000,,9b68ffa15a04e13c14788be5f5a4bb208c42a27f8f03e00d254c0d589144a9f0,0,2025-10-28 10:45:16
1,1761648804,07cf5c9b7714c17d659c30a4dc7105d430a68e251343493ac977abae23beceff,copy,0,0.3239,1.7315,1.0000,87,0.0210,4.0622,87,1.3176,0.0000,,6665946b1883926f8c2319b3b63962356ea22328c1e024e7a4577905f33553af,0,2025-10-28 10:53:24
2,1761648856,1c2e01f7abbdeca09171524c66e7d498096d0374acaba275b9338c29d151b06f,copy,0,0.3232,2.8086,1.0000,84,0.0202,4.0404,84,1.3177,0.0000,,0c63edfcf16932ede15d8ecc1688575d2c97aba8ea17851d6c62afe6fa849224,0,2025-10-28 10:54:16
1,1761682505,d3c07d6d7a6f29b51955de62c76911f65796646096cc51083d3939cb26e2900f,copy,0,0.3158,2.9820,1.0000,81,0.0196,3.7940,81,1.3184,0.0000,,bc20044f6928a6a9852c0bd8733ece7f5da0c11684abcb04c343404243286724,0,2025-10-28 20:15:05
2,1761682553,2f6070c3fcd45512107ce0249437b9476a1b22223d9c59b855c37fa14b55c15f,copy,0,0.3124,1.6028,1.0000,78,0.0190,3.6803,78,0.9090,0.0000,,b1eea5f832b808e071430564ccb24d493dcbda1fe84996f25d6c62d9ff851444,0,2025-10-28 20:15:53
1,1761682753,2f6070c3fcd45512107ce0249437b9476a1b22223d9c59b855c37fa14b55c15f,copy,0,0.3262,2.5029,1.0000,90,0.0214,4.1385,90,1.1218,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-10-28 20:19:13
2,1761682831,091b472ddf18ec5f86c3756219bccf475ff3e121dc8b65e0dc81800ed9fbf2cf,copy,0,0.3177,2.2810,1.0000,83,0.0200,3.8564,83,1.3182,0.0000,,978c57fcaf5908f794f739f11ee3cadd1b9afe635c048dc866459f1ac7fa6dfe,0,2025-10-28 20:20:31
1,1761683281,f3346c9abe0c920e00d64bd8e236b9904401c6b339018844a07342f88ba33e5f,copy,0,0.2970,4.2052,1.0000,65,0.0164,3.1683,65,1.2598,0.0000,,1ea08ec1a2840e175cfdc92f3cc7bd1ae8419fe975bf2f0401cd22093733cfda,0,2025-10-28 20:28:01
2,1761683363,e3e9085a9c0c26d92db0a80f77655282f92a80ca69236a733725eed8dae77b9f,copy,0,0.3309,0.9277,1.0000,98,0.0222,4.2957,98,1.2595,0.0000,,1298f141325c42270140f531982703cd9960c6beee7a24cc04edc50d25d9a69a,1,2025-10-28 20:29:23
1,1761732975,46ccd92d877e67d989ef62b6a06f5099e0cc171daf882217b0d2e9cb945340af,copy,0,0.3111,1.1416,1.0000,77,0.0188,3.6367,77,1.3189,0.0000,,93504f060e7ee56aefccfbae8f41cdb2adc7feedf214f13c4e1369427f5a1eb5,0,2025-10-29 10:16:15
2,1761733057,a1a2e3fa62c8ab41e450e39645f20f0b41e41a9cf21a99b1f144cba488d0e33e,copy,0,0.3198,2.2482,1.0000,83,0.0202,3.9255,83,0.9489,0.0000,,47b816ab48aedd0498a3aee3eaab52211234f239435476704f162b3936673992,0,2025-10-29 10:17:37
1,1761734207,59e9307bd1b5f7ce4519eab123597eaf23715c4e85084f0516f653ed9708dc0a,copy,0,0.3118,2.7772,1.0000,80,0.0186,3.6616,80,1.0294,0.0000,,93504f060e7ee56aefccfbae8f41cdb2adc7feedf214f13c4e1369427f5a1eb5,1,2025-10-29 10:36:47
2,1761734401,5629996cb02f8082d5a4d3f8f7b14194603fbb05e9b614065842a5905903efbf,copy,0,0.3285,1.4191,1.0000,89,0.0214,4.2156,89,0.7218,0.0000,,205d7e0c207a381b323afdf950240dfa18919a1e5c5a775d65a2d97c0351425f,0,2025-10-29 10:40:01
1,1761741782,63c2a36b21875905fbe9b67d9ad7f342e411468c15f638105f811d31068892cf,copy,0,0.3436,0.4073,1.0000,100,0.0244,4.7199,100,1.2648,0.0000,,9b68ffa15a04e13c14788be5f5a4bb208c42a27f8f03e00d254c0d589144a9f0,0,2025-10-29 12:43:02
1,1761741846,63c2a36b21875905fbe9b67d9ad7f342e411468c15f638105f811d31068892cf,copy,0,0.3436,0.4073,1.0000,100,0.0244,4.7199,100,1.2648,0.0000,,0c63edfcf16932ede15d8ecc1688575d2c97aba8ea17851d6c62afe6fa849224,0,2025-10-29 12:44:06
1,1761741860,63c2a36b21875905fbe9b67d9ad7f342e411468c15f638105f811d31068892cf,copy,0,0.3436,0.4073,1.0000,100,0.0244,4.7199,100,1.2648,0.0000,,0c63edfcf16932ede15d8ecc1688575d2c97aba8ea17851d6c62afe6fa849224,0,2025-10-29 12:44:20
1,1761742198,6420932b2829e146a2b64afb033b96b3f8870d85567ad5a5c75ff20ee2a34fff,copy,0,0.3284,2.3919,1.0000,89,0.0212,4.2141,89,1.3172,0.0000,,93504f060e7ee56aefccfbae8f41cdb2adc7feedf214f13c4e1369427f5a1eb5,0,2025-10-29 12:49:58
1,1761742578,6d931f7b4194a86133673765269209cbd12474d8b95353d5d2c5e51be024ac6f,copy,0,0.3074,3.3703,1.0000,71,0.0176,3.5117,71,0.9260,0.0000,,9b68ffa15a04e13c14788be5f5a4bb208c42a27f8f03e00d254c0d589144a9f0,0,2025-10-29 12:56:18
2,1761742629,6d931f7b4194a86133673765269209cbd12474d8b95353d5d2c5e51be024ac6f,copy,0,0.3492,0.6033,1.0000,100,0.0246,4.9060,100,1.3151,0.0000,,c56d68b96f2052583d6639b3d7fe121fd99d203db690d22c770401fb88547620,0,2025-10-29 12:57:09
1,1761771443,04d0cba0494f14591852e4fa7d86a2b449dd753aa06d0622cf92fc38bf2027cf,copy,0,0.3204,3.8570,1.0000,85,0.0204,3.9462,85,1.3180,0.0000,,89c800497f7a9ea57837f3ec1622e02c2d8c939db111d8e386a7e1b4db468b36,0,2025-10-29 20:57:23
2,1761771500,50404b24965f7b17a4d7cfe6fcc31cb981680c4c2df20fdf9197165d534a321f,copy,0,0.3369,1.1017,1.0000,98,0.0230,4.4965,98,1.3163,0.0000,,e4060873cc90fd5582a4e32ee7f579529c09d5413de26022f303adba056925a3,0,2025-10-29 20:58:20
1,1761772994,d33a721e6b567c11a11947a9be8d158f5ff2f5f5f05c1f4fa86a312bfeafd552,copy,0,0.3308,1.3022,1.0000,94,0.0222,4.2944,94,1.0068,0.0000,,89c800497f7a9ea57837f3ec1622e02c2d8c939db111d8e386a7e1b4db468b36,0,2025-10-29 21:23:14
2,1761773066,5e6192c0942531031ab514a4cc63a528c53370642a4c51ec5a5ffb0917b45b7f,copy,0,0.3311,1.7132,1.0000,93,0.0220,4.3036,93,0.9242,0.0000,,e4060873cc90fd5582a4e32ee7f579529c09d5413de26022f303adba056925a3,0,2025-10-29 21:24:26
3,1761773226,d33a721e6b567c11a11947a9be8d158f5ff2f5f5f05c1f4fa86a312bfeafd552,copy,0,0.3252,1.6468,1.0000,88,0.0210,4.1080,88,0.9798,0.0000,,89c800497f7a9ea57837f3ec1622e02c2d8c939db111d8e386a7e1b4db468b36,0,2025-10-29 21:27:06
4,1761773267,d33a721e6b567c11a11947a9be8d158f5ff2f5f5f05c1f4fa86a312bfeafd552,copy,0,0.3323,1.7409,1.0000,94,0.0222,4.3428,94,1.0065,0.0000,,86fb6148cb024cc309c42b22c34d7361e60da2ab116209f501924900ab516b73,0,2025-10-29 21:27:47
5,1761773366,d33a721e6b567c11a11947a9be8d158f5ff2f5f5f05c1f4fa86a312bfeafd552,copy,0,0.3323,1.0057,1.0000,94,0.0222,4.3428,94,1.0065,0.0000,,4e77b02803e7afdb250852992dfac48c911e71886b81c93cde4b56e47d40d299,0,2025-10-29 21:29:26
6,1761773572,d33a721e6b567c11a11947a9be8d158f5ff2f5f5f05c1f4fa86a312bfeafd552,copy,0,0.3418,1.2199,1.0000,100,0.0238,4.6586,100,1.0240,0.0000,,e4060873cc90fd5582a4e32ee7f579529c09d5413de26022f303adba056925a3,0,2025-10-29 21:32:52
7,1761773620,aa5334d1c80f08ac82d312124ffe07bb369638a0113d8a7b58b0397d5a047eef,copy,0,0.3195,2.3930,1.0000,83,0.0200,3.9172,83,1.3180,0.0000,,5b08ef1e143656f79016da12d3ab88c19bab67e7edf8b86b37dcb8f00ccf210d,0,2025-10-29 21:33:40
8,1761773669,d33a721e6b567c11a11947a9be8d158f5ff2f5f5f05c1f4fa86a312bfeafd552,copy,0,0.3422,1.2237,1.0000,100,0.0238,4.6731,100,1.0239,0.0000,,4e77b02803e7afdb250852992dfac48c911e71886b81c93cde4b56e47d40d299,0,2025-10-29 21:34:29
9,1761773791,2eb5d26d1173d6bc7382e4af7b962a3b0bf3263e332940aafc55bf201d1af5ff,copy,0,0.3141,2.5421,1.0000,78,0.0190,3.7362,78,1.3186,0.0000,,99127dc30064bfbfcf5d45956d50d55e040572563b0914cf165175eecd3f2549,0,2025-10-29 21:36:31
10,1761773875,d33a721e6b567c11a11947a9be8d158f5ff2f5f5f05c1f4fa86a312bfeafd552,copy,0,0.3284,1.6497,1.0000,90,0.0214,4.2145,90,1.1213,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-10-29 21:37:55
11,1761773937,b8aedb55bba922bd128891807fe54e040161149a769ca8aa26f638f24db79b0f,copy,0,0.3366,1.0951,1.0000,100,0.0228,4.4861,100,1.3163,0.0000,,3e058245488b35fb6d2e176dcab8979db548919a69e8741473459a6fa0f97d48,1,2025-10-29 21:38:57
12,1761773988,3db41b59758689f45a47eb3f463570a55b4e622647515e8dc272cd5676c20b0f,copy,0,0.2941,1.3616,1.0000,61,0.0156,3.0695,61,0.7802,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-10-29 21:39:48
13,1761774142,c93692802cfc4661dd806576293d4176f998dbc486bfaa3bd2bc1ca2adcedf1f,copy,0,0.3232,2.5337,1.0000,86,0.0206,4.0397,86,1.1964,0.0000,,5b08ef1e143656f79016da12d3ab88c19bab67e7edf8b86b37dcb8f00ccf210d,0,2025-10-29 21:42:22
14,1761774181,631a5d1b74cc274f644b0ea7762efdaea0b1aff006a73ad39a702ada6d74c79f,copy,0,0.3150,2.7395,1.0000,79,0.0192,3.7651,79,1.2800,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-10-29 21:43:01
15,1761774230,aebf66d47b38858cc0465cc12ac5abc3b12a16d64f644023ce384a715c1d0a0f,copy,0,0.3055,3.0038,1.0000,70,0.0176,3.4514,70,1.2167,0.0000,,0283da7e446ef143cc340acad70f1b6280b8cb52d68fb20e1d6b6983ccd4f41a,0,2025-10-29 21:43:50
16,1761774267,c93692802cfc4661dd806576293d4176f998dbc486bfaa3bd2bc1ca2adcedf1f,copy,0,0.3232,2.5612,1.0000,86,0.0206,4.0397,86,1.1964,0.0000,,5b08ef1e143656f79016da12d3ab88c19bab67e7edf8b86b37dcb8f00ccf210d,0,2025-10-29 21:44:27
17,1761774352,1adfa03ffa83e5d03ec9949dd8fc61c8c9c224bce35ff3a757b639036b47ce2f,copy,0,0.3489,0.7422,1.0000,100,0.0250,4.8968,100,1.3151,0.0000,,bfe2530dbc31b49f7b75a9fa70aaa2d1e97f0dd6618240539bb3fccdb0cc9e27,0,2025-10-29 21:45:52
18,1761774383,c93692802cfc4661dd806576293d4176f998dbc486bfaa3bd2bc1ca2adcedf1f,copy,0,0.2971,5.7807,1.0000,64,0.0162,3.1715,64,0.8357,0.0000,,5b08ef1e143656f79016da12d3ab88c19bab67e7edf8b86b37dcb8f00ccf210d,0,2025-10-29 21:46:23
19,1761774419,e8ec1613215459ed2caf00a6c4829eaaba52b78936cbfb9b92910243a2a3a0ff,copy,0,0.2924,6.5933,1.0000,60,0.0154,3.0149,60,0.4737,0.0000,,9a9a0042eba237dda93b2fedcbedcb0ddc6367f5bf2e46a29bf6d342c72a6b22,0,2025-10-29 21:46:59
20,1761774513,1adfa03ffa83e5d03ec9949dd8fc61c8c9c224bce35ff3a757b639036b47ce2f,copy,0,0.3492,0.6267,1.0000,100,0.0250,4.9058,100,1.2641,0.0000,,bfe2530dbc31b49f7b75a9fa70aaa2d1e97f0dd6618240539bb3fccdb0cc9e27,0,2025-10-29 21:48:33
21,1761774547,06e412191f51f4765f74a662983e86e671c1f8043159878f373a2ce19c16c9bf,copy,0,0.3257,2.6325,1.0000,88,0.0210,4.1238,88,1.3174,0.0000,,86fb6148cb024cc309c42b22c34d7361e60da2ab116209f501924900ab516b73,0,2025-10-29 21:49:07
22,1761774727,f7c80777cadf71aa63f4b5eba1585e76cc8f5683cf89b76010da3003b68ec43f,copy,0,0.2939,3.0481,1.0000,61,0.0156,3.0648,61,1.0273,0.0000,,9a9a0042eba237dda93b2fedcbedcb0ddc6367f5bf2e46a29bf6d342c72a6b22,0,2025-10-29 21:52:07
23,1761774790,06e412191f51f4765f74a662983e86e671c1f8043159878f373a2ce19c16c9bf,copy,0,0.3328,1.3895,1.0000,94,0.0222,4.3614,94,1.2426,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-10-29 21:53:10
24,1761774822,5e1cc179b09b6af8e680fd4faa311f519f2e0ac9e2a2528b2c7f60a5a473a3af,copy,0,0.2939,7.6338,1.0000,61,0.0156,3.0631,61,0.7631,0.0000,,9a9a0042eba237dda93b2fedcbedcb0ddc6367f5bf2e46a29bf6d342c72a6b22,0,2025-10-29 21:53:42
25,1761774989,2009a1457aa43133311ecb731a9111669953603d4d10a006829479c8656b2abf,copy,0,0.3045,3.9836,1.0000,70,0.0174,3.4165,70,1.2168,0.0000,,99127dc30064bfbfcf5d45956d50d55e040572563b0914cf165175eecd3f2549,0,2025-10-29 21:56:29
26,1761775036,8a79d1c7cf4ad771b50a45e0180b4231419560cfc991974e42681f8961a1b99f,copy,0,0.3232,2.7038,1.0000,85,0.0206,4.0399,85,1.3177,0.0000,,e478c4f5b8d4be2b75d79f48112e382aa7deb8c8e6cc791902437437161b9fbd,0,2025-10-29 21:57:16
27,1761775206,68e0a80af585aa7c488b7eff3b2f3e38d58dd6edcb0d7668ba1d47b06677ea4f,copy,0,0.3420,1.2409,1.0000,100,0.0238,4.6655,100,1.3158,0.0000,,86fb6148cb024cc309c42b22c34d7361e60da2ab116209f501924900ab516b73,0,2025-10-29 22:00:06
28,1761775557,2de4e96b0860cc21d2c4c20e03f980083edc09aecefc9d8d754021edd8a00faf,copy,0,0.3138,4.1064,1.0000,77,0.0190,3.7265,77,1.3186,0.0000,,979a17af11a4fa777585dcda108a51c90825c4947328090cf75bdf866ca26ed1,0,2025-10-29 22:05:57
29,1761775619,68e0a80af585aa7c488b7eff3b2f3e38d58dd6edcb0d7668ba1d47b06677ea4f,copy,0,0.2971,3.9480,1.0000,64,0.0162,3.1715,64,0.7327,0.0000,,86fb6148cb024cc309c42b22c34d7361e60da2ab116209f501924900ab516b73,0,2025-10-29 22:06:59
